,bt,km,ownerNo,oem,model,Insurance Validity,Fuel Type,Transmission,Mileage,Engine,Torque,Engine and Transmission,Displacement,No of Cylinder,Values per Cylinder,Dimensions & Capacity,Length,Width,Height,Seating Capacity,Turning Radius,Top Speed,No Door Numbers,Wheel Size,Alloy Wheel Size,City,bhp,rpm,Reg_age,price_in_lakhs
1588,Hatchback,150000,1,Hyundai,Hyundai i20,Third Party insurance,Petrol,Manual,18.6,1197,114.7,11.0,1197,4.0,4.0,7.0,3985,1734,1505,5,52,170.0,5,16.0,16.0,Chennai,8183.0,6000.0,9,5.0
1589,Hatchback,33256,1,Ford,Ford Freestyle,Comprehensive,Petrol,Manual,19.0,1194,120.0,12.0,1194,3.0,4.0,5.0,3954,1737,1570,5,50,144.93,5,15.0,15.0,Chennai,9468.0,6500.0,6,6.27
1590,Hatchback,70027,1,Maruti,Maruti Baleno,Comprehensive,Petrol,Automatic,21.4,1197,115.0,11.0,1197,4.0,4.0,8.0,3995,1745,1510,5,49,180.0,5,16.0,16.0,Chennai,831.0,6000.0,6,6.87
1591,Sedan,120000,3,Hyundai,Hyundai Sonata,Third Party insurance,Diesel,Manual,13.6,1991,33.0,13.0,1991,4.0,4.0,7.0,4800,1832,1485,5,546,165.0,4,16.0,16.0,Chennai,142.0,142.0,17,2.05
1592,Hatchback,60000,2,Volkswagen,Volkswagen Polo,Third Party insurance,Petrol,Manual,16.2,1199,110.0,13.0,1199,3.0,4.0,8.0,3971,1682,1469,5,497,165.0,5,16.0,16.0,Chennai,74.0,5400.0,9,5.25
1593,Hatchback,73686,1,Maruti,Maruti Swift,Third Party insurance,Diesel,Manual,25.2,1248,190.0,13.0,1248,4.0,4.0,6.0,3840,1735,1530,5,48,155.0,5,16.0,16.0,Chennai,74.0,4000.0,7,6.2
1594,SUV,44000,2,Mahindra,Mahindra TUV 300,Comprehensive,Diesel,Manual,18.49,1493,240.0,10.0,1493,3.0,2.0,6.0,3995,1835,1826,7,535,156.0,5,15.0,15.0,Chennai,100.0,100.0,6,8.25
1595,Hatchback,75581,1,Maruti,Maruti Swift,Comprehensive,Petrol,Manual,21.21,1197,113.0,12.0,1197,4.0,4.0,8.0,3840,1735,1530,5,48,165.0,5,16.0,16.0,Chennai,8180.0,6000.0,8,5.3
1596,SUV,58000,1,Mercedes-Benz,Mercedes-Benz M-Class,Comprehensive,Diesel,Automatic,15.26,2143,500.0,12.0,2143,4.0,4.0,8.0,4817,2141,1762,5,59,210.0,5,18.0,18.0,Chennai,2032.0,203.0,8,36.0
1597,Sedan,50000,2,Audi,Audi A3,Comprehensive,Diesel,Automatic,20.38,1968,320.0,11.0,1968,4.0,4.0,8.0,4456,1960,1416,5,535,215.0,4,17.0,17.0,Chennai,143.0,143.0,9,19.5
1598,SUV,100000,1,Mahindra,Mahindra TUV 300,Third Party insurance,Diesel,Manual,18.49,1493,240.0,10.0,1493,3.0,2.0,6.0,3995,1835,1826,7,535,156.0,5,15.0,15.0,Chennai,100.0,100.0,9,6.5
1599,Sedan,108902,1,Maruti,Maruti Ciaz,Third Party insurance,Diesel,Manual,28.09,1248,200.0,13.0,1248,4.0,4.0,8.0,4490,1730,1485,5,54,190.0,4,16.0,16.0,Chennai,885.0,4000.0,7,6.5
1600,Sedan,100425,1,Volkswagen,Volkswagen Ameo,Comprehensive,Diesel,Manual,21.66,1498,250.0,12.0,1498,4.0,4.0,6.0,3995,1682,1483,5,53,165.0,4,15.0,15.0,Chennai,10862.0,108.0,8,5.7
1601,Sedan,70887,2,Hyundai,Hyundai Xcent,Third Party,Petrol,Manual,19.1,1197,114.0,11.0,1197,4.0,4.0,7.0,3995,1660,1520,5,47,172.0,4,15.0,15.0,Chennai,82.0,6000.0,8,4.58
1602,Sedan,114981,2,Honda,Honda City,Comprehensive,Petrol,Manual,17.8,1497,145.0,13.0,1497,4.0,4.0,7.0,4440,1695,1495,5,53,195.0,4,15.0,15.0,Chennai,1173.0,117.0,8,5.77
1603,SUV,45000,1,Honda,Honda WR-V,Comprehensive,Petrol,Manual,17.5,1199,110.0,11.0,1199,4.0,4.0,5.0,3999,1734,1601,5,53,164.26,5,16.0,16.0,Chennai,887.0,6000.0,6,9.0
1604,Hatchback,45416,1,Hyundai,Hyundai Grand i10 Nios,Comprehensive,Petrol,Manual,20.7,1197,113.8,8.0,1197,4.0,4.0,5.0,3805,1680,1520,5,53,165.0,5,14.0,14.0,Chennai,8186.0,6000.0,3,6.49
1605,Hatchback,119468,1,Hyundai,Hyundai i20,Third Party insurance,Petrol,Manual,18.6,1197,114.7,11.0,1197,4.0,4.0,7.0,3985,1734,1505,5,52,170.0,5,16.0,16.0,Chennai,8183.0,6000.0,8,5.49
1606,Sedan,100000,3,Volkswagen,Volkswagen Vento,Third Party insurance,Diesel,Automatic,21.21,1498,250.0,12.0,1498,4.0,4.0,8.0,4384,1699,1466,5,54,186.0,4,15.0,15.0,Chennai,1032.0,103.0,9,6.5
1607,Sedan,119975,1,Maruti,Maruti Swift Dzire,Third Party,Petrol,Manual,22.41,1197,113.0,6.0,1197,4.0,4.0,7.0,3995,1735,1515,5,48,165.0,4,16.0,16.0,Chennai,8850.0,6000.0,7,5.14
1608,Sedan,19000,1,BMW,BMW 3 Series,Comprehensive,Petrol,Automatic,15.34,1998,350.0,11.0,1998,4.0,4.0,7.0,4824,1811,1429,5,55,226.0,4,18.0,18.0,Chennai,252.0,252.0,7,39.0
1609,Hatchback,64906,2,Hyundai,Hyundai Grand i10,Comprehensive,Petrol,Manual,18.9,1197,114.0,11.0,1197,4.0,4.0,7.0,3765,1660,1520,5,48,165.0,5,16.0,16.0,Chennai,82.0,6000.0,8,4.56
1610,Hatchback,81484,2,Maruti,Maruti Baleno,Comprehensive,Petrol,Manual,21.4,1197,115.0,11.0,1197,4.0,4.0,8.0,3995,1745,1510,5,49,180.0,5,16.0,16.0,Chennai,831.0,6000.0,8,5.02
1611,Sedan,45067,1,Maruti,Maruti Swift Dzire,Comprehensive,Petrol,Manual,21.21,1197,113.0,11.0,1197,4.0,4.0,8.0,3995,1735,1515,5,48,165.0,4,16.0,16.0,Chennai,8180.0,6000.0,6,6.85
1612,Sedan,68000,1,Mercedes-Benz,Mercedes-Benz S-Class,Third Party insurance,Petrol,Automatic,7.81,4663,700.0,11.0,4663,8.0,4.0,8.0,5453,2130,1498,4,645,250.0,4,19.0,19.0,Chennai,459.0,459.0,6,110.00000000000001
1613,Hatchback,65768,1,Honda,Honda Jazz,Comprehensive,Petrol,Manual,18.7,1199,110.0,11.0,1199,4.0,4.0,5.0,3955,1694,1544,5,51,172.0,5,16.0,16.0,Chennai,887.0,6000.0,8,5.8
