,width,reg_age,length,wheel size,alloy wheel size,rpm,km,city,torque,top speed,mileage,height,model,engine and transmission,transmission,engine,displacement
7431,0.40000000000000013,0.19047619047619047,0.4063504823151127,16.0,16.0,0.9090909090909091,0.0018181818181818184,5,0.13006389020350212,0.5483870967741935,0.08666867288594646,1.4485775335771261e-05,90,11.0,1,0.2394,0.2394
7432,0.35185185185185186,0.19047619047619047,0.5892282958199357,15.0,15.0,0.017727272727272727,0.008797090909090909,5,0.1658778987221959,0.6096774193548387,0.07764068612699368,1.3818228085274892e-05,63,13.0,1,0.2994,0.2994
7433,0.5246913580246912,0.19047619047619047,0.6756430868167203,17.0,17.0,0.021363636363636362,0.005818181818181819,5,0.29010884997633696,0.532258064516129,0.05176045741799581,3.150823022342874e-05,122,7.0,0,0.2902,0.2902
7434,0.35679012345679006,0.14285714285714285,0.5783762057877815,16.0,16.0,0.015606060606060606,0.003636363636363637,5,0.17534311405584477,0.5967741935483871,0.05431838699969908,1.1882341058835408e-05,249,11.0,1,0.3196,0.3196
7435,0.35185185185185186,0.38095238095238093,0.5606913183279745,16.0,16.0,0.8484848484848485,0.010186,5,0.15049692380501656,0.5806451612903226,0.07297622630153477,1.4819548961019446e-05,282,12.0,1,0.2992,0.2992
7436,0.4814814814814816,0.19047619047619047,0.6414790996784567,16.0,16.0,0.019090909090909092,0.011061818181818183,5,0.3017983909133933,0.6161290322580645,0.11631056274450799,1.1815586333785772e-05,75,13.0,1,0.3164,0.3164
7437,0.31481481481481466,0.2857142857142857,0.342041800643087,16.0,16.0,0.9090909090909091,0.0034516363636363638,5,0.11736867013724563,0.5161290322580645,0.09223593138730063,1.6154643462012183e-05,226,12.0,0,0.2396,0.2396
7438,0.35185185185185186,0.42857142857142855,0.5188906752411577,16.0,16.0,0.9090909090909091,0.009090909090909092,5,0.14813061997160434,0.5290322580645161,0.06725850135419803,2.6501625844705943e-05,165,13.0,1,0.2746,0.2746
7439,0.36543209876543226,0.2857142857142857,0.41036977491961424,16.0,16.0,0.6060606060606061,0.020940545454545455,5,0.21911973497397064,0.5096774193548387,0.11939512488715018,1.8824832463997673e-05,278,11.0,1,0.24960000000000002,0.24960000000000002
7440,0.08024691358024683,0.42857142857142855,0.259646302250804,13.0,13.0,0.9393939393939394,0.0047729090909090915,5,0.10080454330336015,0.532258064516129,0.10412278061992178,1.1481812708537587e-05,156,9.0,1,0.1996,0.1996
