,bt,km,ownerno,oem,model,insurance validity,fuel type,transmission,mileage,engine,torque,engine and transmission,displacement,no of cylinder,values per cylinder,dimensions & capacity,length,width,height,seating capacity,turning radius,top speed,no door numbers,wheel size,alloy wheel size,city,bhp,rpm,reg_age,price_in_lakhs
164,4,120000,2,30,289,5,4,1,11.4,1998,181.0,11.0,1998,4.0,4.0,8.0,4585,1760,1760,7,54,165.0,5,15.0,15.0,0,1301.0,130.0,10,11.0
165,2,36685,2,8,61,2,4,1,19.4,1198,109.0,11.0,1198,4.0,4.0,7.0,3610,1680,1500,5,45,164.0,5,16.0,16.0,0,868.0,6000.0,8,4.62
166,7,120000,2,9,80,5,1,0,11.72,2199,436.4,11.0,2199,4.0,4.0,7.0,4660,1890,1760,7,53,182.0,5,18.0,18.0,0,1943.0,194.0,12,9.0
167,8,4000,1,1,18,2,4,0,13.32,1998,400.0,11.0,1998,4.0,4.0,6.0,5091,1902,1538,4,53,250.0,4,19.0,19.0,0,25479.0,254.0,2,79.0
168,2,32184,2,20,157,4,4,0,21.4,1197,115.0,11.0,1197,4.0,4.0,8.0,3995,1745,1510,5,49,180.0,5,16.0,16.0,0,831.0,6000.0,5,8.43
169,2,32279,1,20,158,2,4,1,21.1,998,150.0,11.0,998,3.0,4.0,8.0,3995,1745,1510,5,49,186.08,5,16.0,16.0,0,1005.0,100.0,5,7.99
170,2,59698,1,9,90,2,4,1,18.6,1197,114.7,11.0,1197,4.0,4.0,7.0,3985,1734,1505,5,52,170.0,5,16.0,16.0,0,8183.0,6000.0,9,5.76
171,7,46071,1,27,235,2,1,1,20.37,1461,240.0,11.0,1461,4.0,4.0,6.0,4329,1813,1626,5,52,165.0,5,17.0,17.0,0,10845.0,108.0,6,9.49
172,7,90000,1,20,183,5,1,1,24.3,1248,200.0,12.0,1248,4.0,4.0,6.0,3995,1790,1640,5,52,172.0,5,16.0,16.0,0,885.0,4000.0,7,7.95
173,7,9554,1,9,85,4,4,1,18.27,998,171.6,8.0,998,3.0,4.0,6.0,3995,1770,1605,5,53,165.0,5,16.0,16.0,0,11835.0,118.0,5,10.85
174,7,14000,1,12,101,2,4,0,14.1,1368,250.0,7.0,1368,4.0,4.0,5.0,4405,1818,1640,5,53,165.0,5,18.0,18.0,0,16077.0,160.0,2,25.9
175,7,74499,2,27,236,4,1,1,20.45,1461,200.0,11.0,1461,4.0,4.0,8.0,4315,1822,1695,5,52,165.0,5,16.0,16.0,0,838.0,3750.0,11,5.16
176,7,56211,2,6,50,2,4,0,14.8,1497,150.0,13.0,1497,3.0,4.0,6.0,3998,1765,1647,5,53,171.43,4,16.0,16.0,0,12136.0,121.0,7,7.77
177,2,9001,1,8,66,2,4,1,18.2,1199,110.0,11.0,1199,4.0,4.0,5.0,3955,1694,1544,5,51,172.0,5,15.0,15.0,0,887.0,6000.0,5,7.53
178,7,65457,2,17,147,5,1,0,16.0,1997,320.0,11.0,1997,4.0,4.0,6.0,4585,1890,1785,7,56,185.0,5,17.0,17.0,0,140.0,140.0,7,12.26
179,2,23682,1,8,66,2,4,1,18.7,1199,110.0,11.0,1199,4.0,4.0,5.0,3955,1694,1544,5,51,172.0,5,15.0,15.0,0,887.0,6000.0,7,7.25
180,8,50000,1,9,86,5,1,1,22.0,1582,259.87,11.0,1582,4.0,4.0,5.0,4440,1729,1475,5,53,165.0,4,16.0,16.0,0,1262.0,126.0,4,11.5
181,2,134557,2,20,179,2,1,1,25.2,1248,190.0,13.0,1248,4.0,4.0,8.0,3840,1735,1530,5,48,155.0,5,15.0,15.0,0,74.0,4000.0,9,6.29
182,8,96567,2,20,180,2,4,1,22.41,1197,113.0,6.0,1197,4.0,4.0,7.0,3995,1735,1515,5,48,165.0,4,16.0,16.0,0,8850.0,6000.0,11,4.47
183,2,120000,3,20,160,5,4,1,23.1,998,90.0,13.0,998,3.0,4.0,8.0,3715,1635,1565,5,47,150.0,5,16.0,16.0,0,6704.0,6000.0,9,4.0
184,4,83007,2,20,165,2,1,1,20.77,1248,200.0,13.0,1248,4.0,4.0,8.0,4265,1695,1685,7,52,160.0,5,15.0,15.0,0,888.0,4000.0,9,7.86
185,2,34000,1,8,66,2,4,1,18.7,1199,110.0,11.0,1199,4.0,4.0,5.0,3955,1694,1544,5,51,172.0,5,15.0,15.0,0,887.0,6000.0,6,7.45
186,2,81634,1,9,77,2,4,0,18.9,1197,114.0,11.0,1197,4.0,4.0,7.0,3765,1660,1520,5,48,163.0,5,14.0,14.0,0,82.0,6000.0,10,4.9
187,8,57284,2,8,63,2,4,0,18.0,1497,145.0,13.0,1497,4.0,4.0,8.0,4440,1695,1495,5,53,178.55,4,16.0,16.0,0,1176.0,117.0,7,9.42
